run_id,classifier,detector,codebook_size,spatial_pyramid,pyramid_levels,dense_sift,dense_step,dense_scales,fold_1_train_acc,fold_1_val_acc,fold_2_train_acc,fold_2_val_acc,fold_3_train_acc,fold_3_val_acc,fold_4_train_acc,fold_4_val_acc,fold_5_train_acc,fold_5_val_acc,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,final_train_acc,test_acc,clf_params
31,LogisticRegression,SIFT_standard,200,None,1,False,8,[16],0.38496910475643054,0.3283496262219667,0.3843943095272309,0.3139735480161012,0.3920666858292613,0.32413793103448274,0.39177924691003163,0.31839080459770114,0.3804254096004599,0.3281609195402299,0.3867269513246828,0.004522811640472759,0.32260256588209635,0.005629924094311629,0.3812370659921821,0.3240909090909091,"{'C': 1.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
32,LogisticRegression,SIFT_standard,200,None,1,False,8,[16],0.4147147578675097,0.3110983323749281,0.40580543181491596,0.2961472110408281,0.40126473124461054,0.31839080459770114,0.4078758263868928,0.3137931034482759,0.41146881287726356,0.3137931034482759,0.40822591203823844,0.004627328571954846,0.31064451098200185,0.007618529953462324,0.39894228558289263,0.31545454545454543,"{'C': 10.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
33,LogisticRegression,SIFT_standard,200,square,2,False,8,[16],0.3727547061359391,0.3375503162737205,0.3736168989797385,0.30132259919493964,0.3776947398677781,0.335632183908046,0.38286864041391205,0.31494252873563217,0.37898821500431157,0.3390804597701149,0.37718464008033586,0.003692533964752318,0.32570561757649064,0.01502062366786776,0.37974246953322605,0.3327272727272727,"{'C': 0.1, 'max_iter': 1000, 'class_weight': 'balanced'}"
34,LogisticRegression,SIFT_standard,200,square,2,False,8,[16],0.464290846385975,0.32604945370902816,0.470038798677971,0.3162737205290397,0.4645012934751365,0.33045977011494254,0.466657085369359,0.34022988505747126,0.464070135096292,0.33620689655172414,0.4659116318009467,0.0022625789321636114,0.3298439451924412,0.008334066237421922,0.451023223729593,0.3390909090909091,"{'C': 1.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
35,LogisticRegression,SIFT_standard,200,square,2,False,8,[16],0.5005029458255497,0.3024726854514089,0.49590458399195286,0.2961472110408281,0.49382006323656225,0.3080459770114943,0.49899396378269617,0.3028735632183908,0.49755676918654784,0.2942528735632184,0.4973556652046618,0.002333921948636776,0.3007584620570681,0.004982096076259539,0.46999310186249715,0.3159090909090909,"{'C': 10.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
36,LogisticRegression,SIFT_standard,200,None,1,True,8,[16],0.34410919540229884,0.3114942528735632,0.33347701149425285,0.32298850574712645,0.3431034482758621,0.3258620689655172,0.3466954022988506,0.3028735632183908,0.3431034482758621,0.335632183908046,0.34209770114942534,0.0045060916476307705,0.3197701149425287,0.011428547836074025,0.34632183908045977,0.3109090909090909,"{'C': 0.1, 'max_iter': 1000, 'class_weight': 'balanced'}"
37,LogisticRegression,SIFT_standard,200,None,1,True,8,[16],0.3992816091954023,0.314367816091954,0.39382183908045976,0.3350574712643678,0.3939655172413793,0.34942528735632183,0.40373563218390807,0.3201149425287356,0.39770114942528734,0.3385057471264368,0.39770114942528734,0.0036855618788450293,0.3314942528735632,0.012697898372084114,0.3918390804597701,0.33045454545454545,"{'C': 1.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
38,LogisticRegression,SIFT_standard,200,None,1,True,8,[16],0.4130747126436782,0.32068965517241377,0.41997126436781607,0.31091954022988505,0.4104885057471264,0.33620689655172414,0.41954022988505746,0.29942528735632185,0.41551724137931034,0.3373563218390805,0.4157183908045977,0.003662637861591801,0.3209195402298851,0.014600868513287747,0.4013793103448276,0.34045454545454545,"{'C': 10.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
39,LogisticRegression,SIFT_standard,200,square,2,True,8,[16],0.38189655172413794,0.3264367816091954,0.38764367816091955,0.32126436781609197,0.38045977011494253,0.34022988505747126,0.3775862068965517,0.30517241379310345,0.3757183908045977,0.34942528735632183,0.38066091954022985,0.004103866812745345,0.3285057471264368,0.015337830424984942,0.375632183908046,0.32681818181818184,"{'C': 0.1, 'max_iter': 1000, 'class_weight': 'balanced'}"
40,LogisticRegression,SIFT_standard,200,square,2,True,8,[16],0.44885057471264367,0.33045977011494254,0.4538793103448276,0.32873563218390806,0.4475574712643678,0.33793103448275863,0.43908045977011495,0.3218390804597701,0.4543103448275862,0.3511494252873563,0.448735632183908,0.005516493004799716,0.3340229885057472,0.009976852586265622,0.4304597701149425,0.3386363636363636,"{'C': 1.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
41,LogisticRegression,SIFT_standard,200,square,2,True,8,[16],0.4771551724137931,0.32701149425287357,0.47701149425287354,0.31666666666666665,0.47729885057471266,0.3333333333333333,0.4849137931034483,0.314367816091954,0.4764367816091954,0.3235632183908046,0.47856321839080457,0.0031887489651910563,0.32298850574712645,0.006896551724137929,0.47022988505747126,0.325,"{'C': 10.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
42,LogisticRegression,SIFT_limited,200,None,1,False,8,[16],0.3169995689035781,0.29557216791259344,0.32174162954447477,0.2823461759631972,0.3253808565679793,0.29770114942528736,0.32020695602184535,0.29195402298850576,0.3137395803391779,0.28793103448275864,0.3196137182754111,0.003986956104863906,0.2911009101544685,0.005495026631658183,0.32271786617613246,0.2872727272727273,"{'C': 0.1, 'max_iter': 1000, 'class_weight': 'balanced'}"
43,LogisticRegression,SIFT_limited,200,None,1,False,8,[16],0.3908607558557264,0.32202415181138583,0.38496910475643054,0.32144910868315124,0.3868927852831273,0.3120689655172414,0.3873239436619718,0.3373563218390805,0.3858867490658235,0.3086206896551724,0.38718666772461596,0.0020105476470306744,0.3203038475012063,0.009993672094715963,0.3874453897447689,0.3004545454545455,"{'C': 1.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
44,LogisticRegression,SIFT_limited,200,None,1,False,8,[16],0.41026009484121284,0.2961472110408281,0.412846673372611,0.2995974698102358,0.4087381431445818,0.3057471264367816,0.4011210117849957,0.3137931034482759,0.4159241161253234,0.31551724137931036,0.40977800785374496,0.004968876379300069,0.3061604304230863,0.007606779126123299,0.39997700620832377,0.2786363636363636,"{'C': 10.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
45,LogisticRegression,SIFT_limited,200,square,2,False,8,[16],0.3806581405374335,0.3341000575043128,0.37864635723523493,0.29902242668200113,0.3847369933889049,0.33160919540229883,0.37985053176200057,0.32701149425287357,0.3715148031043403,0.33275862068965517,0.3790813652055828,0.004301303564103718,0.3249003589062283,0.013156895441835991,0.3783628420326512,0.3054545454545455,"{'C': 0.1, 'max_iter': 1000, 'class_weight': 'balanced'}"
46,LogisticRegression,SIFT_limited,200,square,2,False,8,[16],0.46400344877137517,0.32777458309373203,0.4709009915217704,0.33467510063254746,0.45817763725208394,0.31724137931034485,0.46335153779821786,0.3373563218390805,0.4611957459039954,0.33620689655172414,0.46352587224948855,0.0042115071527652655,0.3306508562854858,0.007484843545670159,0.44929868935387446,0.30954545454545457,"{'C': 1.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
47,LogisticRegression,SIFT_limited,200,square,2,False,8,[16],0.49173731858025577,0.288671650373778,0.49834746371605115,0.29672225416906267,0.49382006323656225,0.3074712643678161,0.4841908594423685,0.3028735632183908,0.4913768324231101,0.32241379310344825,0.49189450747966956,0.004582298507484074,0.3036305050464992,0.011310416142927215,0.4755116118647965,0.30772727272727274,"{'C': 10.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
48,LogisticRegression,AKAZE_standard,200,None,1,False,8,[16],0.24438364055299538,0.20184013801035078,0.245717575932057,0.2217741935483871,0.24910007199424047,0.19217491369390102,0.2497480927018857,0.20449308755760368,0.24118578212692474,0.2093425605536332,0.24602703266162065,0.0031471913317414712,0.20592497867277518,0.009702350234989991,0.2445007485891973,0.19872669395179626,"{'C': 0.1, 'max_iter': 1000, 'class_weight': 'balanced'}"
49,LogisticRegression,AKAZE_standard,200,None,1,False,8,[16],0.27318548387096775,0.19148936170212766,0.2817043328055276,0.2021889400921659,0.28020158387329014,0.1892980437284235,0.28026486253058874,0.19930875576036866,0.2807598215570586,0.1972318339100346,0.27922321692748653,0.0030663834624121175,0.19590338703862406,0.004816298668623649,0.26868593803984797,0.19008640291041382,"{'C': 1.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
50,LogisticRegression,AKAZE_standard,200,None,1,False,8,[16],0.2865783410138249,0.18516388729154687,0.28674247876781345,0.18778801843317972,0.2914326853851692,0.1812428078250863,0.2894774722901972,0.1814516129032258,0.2856526118866024,0.18973471741637832,0.2879767178687215,0.0021483131946233155,0.1850762087738834,0.00337330579647736,0.2728319705171024,0.17462482946793997,"{'C': 10.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
51,LogisticRegression,AKAZE_standard,200,square,2,False,8,[16],0.297955069124424,0.21736630247268546,0.29753850582985464,0.21428571428571427,0.30280777537796977,0.21001150747986191,0.2960990355549158,0.22350230414746544,0.29860411570010076,0.21107266435986158,0.298600900317453,0.0022584470496638865,0.2152476985491177,0.0048662309293225695,0.28457906253598986,0.21509777171441563,"{'C': 0.1, 'max_iter': 1000, 'class_weight': 'balanced'}"
52,LogisticRegression,AKAZE_standard,200,square,2,False,8,[16],0.3607430875576037,0.19378953421506612,0.35799625737728513,0.19412442396313365,0.36328293736501077,0.1962025316455696,0.35007917086512164,0.19988479262672812,0.34853935818103327,0.1845444059976932,0.3561281622692109,0.005833667215692437,0.19370913768963813,0.005070048532254382,0.3299550846481631,0.19326966803092316,"{'C': 1.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
0,SVM,SIFT_dense_optimal,512,square,3,True,6,"[12, 16, 20, 24]",0.7748563218390805,0.3683908045977011,0.7705459770114943,0.3471264367816092,0.7719827586206897,0.3568965517241379,0.773132183908046,0.3735632183908046,0.7729885057471264,0.36724137931034484,0.7727011494252874,0.0014194355212906195,0.3626436781609196,0.009457472381942162,0.7539080459770114,0.3577272727272727,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 'scale'}"
53,LogisticRegression,AKAZE_standard,200,square,2,False,8,[16],0.36434331797235026,0.1633122484186314,0.35338995249748095,0.18433179723502305,0.3619870410367171,0.17491369390103567,0.353246005469987,0.1912442396313364,0.3538638653043603,0.1782006920415225,0.3573660364561791,0.004797608621796655,0.1784005342455098,0.009380778329931986,0.33801681446504667,0.1778080945884493,"{'C': 10.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
54,LogisticRegression,AKAZE_sensitive,200,None,1,False,8,[16],0.23919930875576037,0.2052903967797585,0.24456599971210594,0.201036866359447,0.2472282217422606,0.1904487917146145,0.24283863538217937,0.21140552995391704,0.23629299179738092,0.2029988465974625,0.24202503147793744,0.0038738262121293158,0.2022360862810399,0.006846426145208682,0.24427041345157205,0.19136363636363637,"{'C': 0.1, 'max_iter': 1000, 'class_weight': 'balanced'}"
55,LogisticRegression,AKAZE_sensitive,200,None,1,False,8,[16],0.2740495391705069,0.1891891891891892,0.2700446235785231,0.20161290322580644,0.2806335493160547,0.19677790563866512,0.28328775010796026,0.19930875576036866,0.2803281047632753,0.18166089965397925,0.27766871338726407,0.0048715778894927,0.19370993069360173,0.007332564898861526,0.2758263273062306,0.19227272727272726,"{'C': 1.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
56,LogisticRegression,AKAZE_sensitive,200,None,1,False,8,[16],0.2777937788018433,0.1771132834962622,0.2853030084928746,0.19066820276497695,0.2931605471562275,0.1852704257767549,0.2868864257953073,0.18490783410138248,0.28838681824722984,0.1845444059976932,0.2863061156986965,0.005002307807834151,0.18450083042741394,0.0043213923458251995,0.27271680294828976,0.17227272727272727,"{'C': 10.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
57,LogisticRegression,AKAZE_sensitive,200,square,2,False,8,[16],0.29205069124423966,0.20471535365152385,0.30185691665467107,0.22004608294930875,0.2937365010799136,0.21001150747986191,0.2978263998848424,0.20391705069124424,0.3029212836379335,0.21453287197231835,0.2976783585003201,0.004293702532020975,0.21064457334885142,0.006071626284201304,0.2902222734078084,0.2131818181818182,"{'C': 0.1, 'max_iter': 1000, 'class_weight': 'balanced'}"
58,LogisticRegression,AKAZE_sensitive,200,square,2,False,8,[16],0.3466301843317972,0.20874065554916618,0.3428818194904275,0.19642857142857142,0.3490280777537797,0.19792865362485615,0.3515186411400605,0.19700460829493088,0.34566124622247807,0.18685121107266436,0.34714399378770866,0.0029433308372736537,0.19739073999403778,0.006946459099493199,0.3271910629966601,0.18545454545454546,"{'C': 1.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
59,LogisticRegression,AKAZE_sensitive,200,square,2,False,8,[16],0.3575748847926267,0.16503737780333524,0.37023175471426517,0.17857142857142858,0.3670266378689705,0.17376294591484465,0.36375413847704047,0.1889400921658986,0.3632177291696647,0.17589388696655134,0.3643610290045135,0.0042260642415050224,0.17644114628441168,0.007723728844557443,0.33870781987792237,0.18,"{'C': 10.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
60,LogisticRegression,SIFT_standard,500,None,1,False,8,[16],0.33295013651386696,0.3053479010925819,0.3372611007328639,0.28924669350201265,0.3434895084794481,0.29310344827586204,0.3440643863179074,0.2925287356321839,0.341046277665996,0.3080459770114943,0.3397622819420164,0.004164377444873806,0.29765455110282696,0.007547820309154791,0.3446769372269487,0.3013636363636364,"{'C': 0.1, 'max_iter': 1000, 'class_weight': 'balanced'}"
61,LogisticRegression,SIFT_standard,500,None,1,False,8,[16],0.45236384538008334,0.34445083381253594,0.44819657996838624,0.32547441058079357,0.44883587237711986,0.3293103448275862,0.45745903995400977,0.3275862068965517,0.4430870939925266,0.31666666666666665,0.4499884863344252,0.004766973161135286,0.3286976925568268,0.00899897031072904,0.4366521039319384,0.3245454545454545,"{'C': 1.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
62,LogisticRegression,SIFT_standard,500,None,1,False,8,[16],0.5125736456387412,0.30477285796434733,0.5127173444460411,0.281196089706728,0.5150905432595574,0.3086206896551724,0.5117849956884162,0.29310344827586204,0.5204081632653061,0.29022988505747127,0.5145149384596124,0.0031468704798311518,0.29558459413191623,0.009962148687611937,0.4966659002069441,0.29045454545454547,"{'C': 10.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
