run_id,classifier,detector,codebook_size,spatial_pyramid,pyramid_levels,dense_sift,dense_step,dense_scales,fold_1_train_acc,fold_1_val_acc,fold_2_train_acc,fold_2_val_acc,fold_3_train_acc,fold_3_val_acc,fold_4_train_acc,fold_4_val_acc,fold_5_train_acc,fold_5_val_acc,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,final_train_acc,test_acc,clf_params
0,SVM,SIFT,512,None,1,False,8,[16],0.07946544043684438,0.08453133985048879,0.09024285098433683,0.09890741805635422,0.09198045415349239,0.09195402298850575,0.12805403851681518,0.1396551724137931,0.08192009198045415,0.07471264367816093,0.09433257521438858,0.0175185435555942,0.09795211939746055,0.022343790825632863,0.10807082087836284,0.10318181818181818,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 0.0001}"
1,SVM,SIFT,512,None,1,False,8,[16],0.07946544043684438,0.08453133985048879,0.09024285098433683,0.09890741805635422,0.09198045415349239,0.09195402298850575,0.13207818338603047,0.1413793103448276,0.08192009198045415,0.07471264367816093,0.09513740418823165,0.01907276562090975,0.09829694698366745,0.022988721994374392,0.10864566567026902,0.10363636363636364,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 0.0005}"
2,SVM,SIFT,512,None,1,False,8,[16],0.07946544043684438,0.08453133985048879,0.09024285098433683,0.09890741805635422,0.09198045415349239,0.09195402298850575,0.13524001149755677,0.14942528735632185,0.08192009198045415,0.07471264367816093,0.09576976981053689,0.020300002246378332,0.0999061423859663,0.026028739124046074,0.1085306967118878,0.10272727272727272,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 0.001}"
3,SVM,SIFT,512,None,1,False,8,[16],0.08722517603103894,0.09373202990224266,0.11352205776692054,0.11903392754456585,0.10836447254958322,0.11379310344827587,0.15636677206093705,0.16896551724137931,0.08939350388042541,0.07988505747126437,0.11097439645778104,0.024913973746329626,0.11508192712154561,0.030382094735091132,0.2115428834214762,0.20954545454545453,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 0.005}"
4,SVM,SIFT,512,None,1,False,8,[16],0.21181204196005174,0.22484186313973548,0.24155769507113092,0.23231742380678552,0.2206093705087669,0.22758620689655173,0.21902845645300373,0.21264367816091953,0.2121299223914918,0.21666666666666667,0.221027497276889,0.010860492357332158,0.2228111677341318,0.007189247039034199,0.2701770521959071,0.25227272727272726,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 0.01}"
5,SVM,SIFT,512,None,1,False,8,[16],0.334243425779566,0.3139735480161012,0.3404224744934617,0.28292121909143186,0.33414774360448407,0.2942528735632184,0.341908594423685,0.3045977011494253,0.340183960908307,0.3017241379310345,0.33818123984190074,0.0033076477472157926,0.29949389595024223,0.010419261631039548,0.3359392963899747,0.29454545454545455,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 0.05}"
6,SVM,SIFT,512,None,1,False,8,[16],0.37002442879724096,0.32202415181138583,0.3764908751257365,0.320299022426682,0.3710836447254958,0.3114942528735632,0.374389192296637,0.32701149425287357,0.3663409025582064,0.32126436781609197,0.3716658087006633,0.003523797738931785,0.32041865783611934,0.005028272961162929,0.3739940216141642,0.3068181818181818,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 0.1}"
7,SVM,SIFT,512,None,1,False,8,[16],0.5193274895818365,0.3588269120184014,0.5151602241701394,0.3404255319148936,0.5158091405576315,0.31494252873563217,0.5135096292037942,0.3218390804597701,0.5133659097441794,0.33793103448275863,0.5154344786515161,0.002161256296177707,0.3347930175222912,0.015369104358850867,0.5041388825017246,0.3327272727272727,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 0.5}"
8,SVM,SIFT,512,None,1,False,8,[16],0.65713464578244,0.34905117883841286,0.6624515016525363,0.33237492811960895,0.6519114688128773,0.33448275862068966,0.6506179936763438,0.3396551724137931,0.6573728082782408,0.33620689655172414,0.6558976836404876,0.004252614098220652,0.3383541869088457,0.005856083130593266,0.6463554840193148,0.33454545454545453,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 1.0}"
9,SVM,SIFT,512,None,1,False,8,[16],0.9982756143124012,0.3266244968372628,0.9979882166978014,0.3208740655549166,0.9985628054038517,0.314367816091954,0.9988502443230813,0.32413793103448274,0.9988502443230813,0.3132183908045977,0.9985054250120434,0.00033508524941708914,0.31984454006464275,0.005279418568044078,0.9978155897907565,0.31136363636363634,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 5.0}"
10,SVM,SIFT,512,None,1,False,8,[16],0.7720936916223595,0.3634272570442783,0.7732432820807588,0.34732604945370904,0.7657372808278241,0.332183908045977,0.7609945386605347,0.33045977011494254,0.7719172175912619,0.3218390804597701,0.7687972021565479,0.004703480455439934,0.3390472130237354,0.014696221530355146,0.7513221430213842,0.34954545454545455,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 'scale'}"
11,SVM,SIFT,512,None,1,False,8,[16],0.07946544043684438,0.08453133985048879,0.09024285098433683,0.09890741805635422,0.09198045415349239,0.09195402298850575,0.13078470824949698,0.14195402298850573,0.08192009198045415,0.07471264367816093,0.09487870916092493,0.018572164363158086,0.09841188951240308,0.023204270677001666,0.10692113129455047,0.1040909090909091,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 'auto'}"
